product_id,sku,product_name,category,standard_cost,selling_price,supplier_id,active_flag
1,SKU-0001,Home Product 1,Home,134.77,84.79,3,N
2,SKU-0002,Home Product 2,HOM,20.21,135.25,1,Y
3,SKU-0003,Beauty Product 3,beauty,93.44,22.56,4,N
4,SKU-0004,Office Product 4,office,83.61,94.28,1,Unknown
5,SKU-0005,Toys Product 5, Toys ,64.54,59.31,6,Y
6,SKU-0006,Home Product 6, Home ,21.93,256.54,5,Unknown
7,SKU-0007,Electronics Product 7, Electronics ,98.84,292.34,7,Y
8,SKU-0008,Sports Product 8,SPO,159.95,118.07,4,N
9,SKU-0009,Home Product 9,Home,120.72,235.32,2,Unknown
10,SKU-0010,Beauty Product 10,Beauty,71.52,144.22,6,N
11,SKU-0011,Kitchen Product 11,KITCHEN,41.66,91.09,2,Y
12,SKU-0012,Toys Product 12,TOY,132.6,61.57,7,Y
13,SKU-0013,Beauty Product 13,BEAUTY,152.5,236.16,4,Unknown
14,SKU-0014,Electronics Product 14,ELECTRONICS,75.2,33.86,6,N
15,SKU-0015,Pet Product 15, Pet ,159.82,198.21,3,Y
16,SKU-0016,Toys Product 16,toys,135.37,168.61,7,Y
17,SKU-0017,Office Product 17,OFFICE,43.38,299.3,8,Y
18,SKU-0018,Electronics Product 18,Electronics,31.75,60.59,7,Y
19,SKU-0019,Home Product 19, Home ,71.78,298.89,5,Y
20,SKU-0020,Electronics Product 20,Electronics,124.3,168.04,5,Unknown
21,SKU-0021,Kitchen Product 21,Kitchen,56.36,60.07,1,N
22,SKU-0022,Sports Product 22,SPO,138.34,159.69,2,Unknown
23,SKU-0023,Sports Product 23,SPO,111.57,58.56,3,Y
24,SKU-0024,Electronics Product 24,ELECT,61.73,20.55,6,Unknown
25,SKU-0025,Sports Product 25,sports,15.14,265.23,2,Y
26,SKU-0026,Pet Product 26,Pet,176.15,166.82,3,N
27,SKU-0027,Pet Product 27,PET,33.9,165.39,7,N
28,SKU-0028,Beauty Product 28,BEAUTY,74.82,206.43,6,N
29,SKU-0029,Pet Product 29,Pet,48.38,33.25,1,Y
30,SKU-0030,Beauty Product 30,BEA,43.54,35.23,1,N
31,SKU-0031,Home Product 31,Home,155.44,35.19,4,Y
32,SKU-0032,Pet Product 32,pet,99.37,221.16,8,N
33,SKU-0033,Pet Product 33, Pet ,38.32,42.63,7,Y
34,SKU-0034,Office Product 34, Office ,86.73,222.79,2,Y
35,SKU-0035,Office Product 35,OFFICE,145.1,46.14,4,N
36,SKU-0036,Pet Product 36,pet,78.83,94.39,4,Unknown
37,SKU 0037,Home Product 37, Home ,146.4,258.95,2,Y
38,SKU-0038,Electronics Product 38,Electronics,167.11,256.88,3,N
39,SKU-0039,Pet Product 39, Pet ,42.41,129.3,1,N
40,SKU-0040,Office Product 40,Office,177.43,90.58,8,Y
41,SKU-0041,Office Product 41,OFF,120.83,153.7,4,Y
42,SKU-0042,Beauty Product 42,Beauty,106.36,169.53,6,Y
43,SKU-0043,Electronics Product 43,ELECT,88.44,277.03,3,Y
44,SKU-0044,Home Product 44,home,16.99,34.37,4,N
45,SKU-0045,Home Product 45,HOM,48.09,184.44,2,N
46,SKU-0046,Kitchen Product 46,KITCHEN,40.75,219.11,4,Y
47,SKU-0047,Office Product 47,office,122.55,100.5,6,Unknown
48,SKU-0048,Home Product 48,Home,85.2,299.56,2,Y
49,SKU-0049,Beauty Product 49,BEA,51.41,280.98,2,N
50,SKU-0050,Kitchen Product 50,KITCHEN,32.61,252.62,5,Y
51,SKU-0051,Electronics Product 51,ELECT,57.39,204.07,3,Y
52,SKU-0052,Home Product 52,Home,134.92,59.3,5,Y
53,SKU-0053,Beauty Product 53,BEAUTY,81.27,73.03,5,Y
54,SKU-0054,Pet Product 54,PET,163.43,256.14,2,N
55,SKU-0055,Office Product 55,OFFICE,12.72,110.06,3,N
