inventory_id,product_id,warehouse,quantity_on_hand,last_updated,sku,product_name,category,standard_cost,selling_price,supplier_id,active_flag,inventory_value
1,1,South Jordan,22,2026-04-01,SKU-0001,Home Product 1,Home,134.77,84.79,3.0,N,2964.94
2,2,South Jordan,405,2026-04-22,SKU-0002,Home Product 2,HOM,20.21,135.25,1.0,Y,8185.05
3,2,Unknown,253,2026-04-23,SKU-0002,Home Product 2,HOM,20.21,135.25,1.0,Y,5113.13
4,2,West Valley,257,2026-04-10,SKU-0002,Home Product 2,HOM,20.21,135.25,1.0,Y,5193.97
5,3,South Jordan,51,2026-04-02,SKU-0003,Beauty Product 3,beauty,93.44,22.56,4.0,N,4765.44
6,4,Draper,209,2026-04-22,SKU-0004,Office Product 4,office,83.61,94.28,1.0,Unknown,17474.49
7,5,South Jordan,400,2026-04-10,SKU-0005,Toys Product 5, Toys ,64.54,59.31,6.0,Y,25816.000000000004
8,6,South Jordan,168,2026-03-08,SKU-0006,Home Product 6, Home ,21.93,256.54,5.0,Unknown,3684.24
9,6,Salt Lake City,273,2026-04-11,SKU-0006,Home Product 6, Home ,21.93,256.54,5.0,Unknown,5986.89
10,6,Unknown,320,2026-03-14,SKU-0006,Home Product 6, Home ,21.93,256.54,5.0,Unknown,7017.6
11,7,Unknown,316,2026-03-22,SKU-0007,Electronics Product 7, Electronics ,98.84,292.34,7.0,Y,31233.44
12,7,Salt Lake City,350,2026-04-17,SKU-0007,Electronics Product 7, Electronics ,98.84,292.34,7.0,Y,34594.0
13,8,Salt Lake City,389,2026-03-07,SKU-0008,Sports Product 8,SPO,159.95,118.07,4.0,N,62220.55
14,8,South Jordan,51,2026-03-18,SKU-0008,Sports Product 8,SPO,159.95,118.07,4.0,N,8157.45
15,8,Salt Lake City,153,2026-04-29,SKU-0008,Sports Product 8,SPO,159.95,118.07,4.0,N,24472.35
16,9,Salt Lake City,183,2026-04-22,SKU-0009,Home Product 9,Home,120.72,235.32,2.0,Unknown,22091.76
17,9,Lehi,125,2026-03-26,SKU-0009,Home Product 9,Home,120.72,235.32,2.0,Unknown,15090.0
18,10,Draper,40,2026-04-07,SKU-0010,Beauty Product 10,Beauty,71.52,144.22,6.0,N,2860.8
19,10,Unknown,317,2026-03-31,SKU-0010,Beauty Product 10,Beauty,71.52,144.22,6.0,N,22671.84
20,10,Salt Lake City,467,2026-04-17,SKU-0010,Beauty Product 10,Beauty,71.52,144.22,6.0,N,33399.84
21,11,Lehi,130,2026-03-05,SKU-0011,Kitchen Product 11,KITCHEN,41.66,91.09,2.0,Y,5415.799999999999
22,11,South Jordan,411,2026-04-13,SKU-0011,Kitchen Product 11,KITCHEN,41.66,91.09,2.0,Y,17122.26
