po_id,supplier_id_x,product_id,warehouse,po_date,expected_date,received_date,ordered_qty,received_qty,unit_cost,po_status,lead_time_days,supplier_name,supplier_country,payment_terms,sku,product_name,category,standard_cost,selling_price,supplier_id_y,active_flag,fill_rate
5001,7,134,West Valley,2026-01-23,2026-02-22,2026-02-25,503,456,19.75,Closed,33.0,Summit Trading,China,Net 30,SKU-0134,Pet Product 134, Pet ,19.08,26.36,7,N,0.9065606361829026
5002,3,43,Salt Lake City,2026-04-15,2026-05-22,2026-05-30,203,203,80.49,Partial,45.0,Primesource,Vietnam,Net 45,SKU-0043,Electronics Product 43,ELECT,88.44,277.03,3,Y,1.0
5003,2,49,South Jordan,2026-01-22,2026-02-04,2026-02-09,116,78,44.96,Closed,18.0,Global Goods,United States,Net 60,SKU-0049,Beauty Product 49,BEA,51.41,280.98,2,N,0.6724137931034483
5004,7,18,Draper,2026-03-01,2026-04-12,2026-04-18,663,646,27.17,Partial,48.0,Summit Trading,China,Net 30,SKU-0018,Electronics Product 18,Electronics,31.75,60.59,7,Y,0.9743589743589745
5005,5,110,Unknown,2026-04-30,2026-05-26,2026-06-14,432,398,176.97,Closed,45.0,Utah Wholesale,Mexico,Net 60,SKU-0110,Beauty Product 110,BEAUTY,144.62,112.0,5,Y,0.9212962962962964
5006,5,20,Salt Lake City,2026-01-10,2026-01-23,2026-01-26,202,194,118.73,Open,16.0,Utah Wholesale,Mexico,Net 60,SKU-0020,Electronics Product 20,Electronics,124.3,168.04,5,Unknown,0.9603960396039604
5007,2,99,South Jordan,2026-02-24,2026-04-08,2026-04-21,639,626,30.43,Closed,56.0,Global Goods,United States,Net 60,SKU-0099,Electronics Product 99,ELECT,31.67,50.97,2,Y,0.9796557120500784
5008,3,1,Draper,2026-01-30,2026-02-19,2026-03-11,649,619,122.45,Open,40.0,Primesource,Vietnam,Net 45,SKU-0001,Home Product 1,Home,134.77,84.79,3,N,0.9537750385208013
5009,7,83,South Jordan,2025-12-21,2025-12-31,2026-01-20,470,450,150.61,Partial,30.0,Summit Trading,China,Net 30,SKU-0083,Pet Product 83,PET,147.63,269.23,7,Unknown,0.9574468085106383
5010,8,129,South Jordan,2026-01-01,2026-01-23,2026-01-30,812,790,55.65,Partial,29.0,Metro Logistics,United States,Net 60,SKU-0129,Electronics Product 129,electronics,55.42,95.57,8,Y,0.9729064039408868
5011,7,134,Draper,2026-02-21,2026-04-02,2026-04-16,882,842,17.85,Partial,54.0,Summit Trading,China,Net 30,SKU-0134,Pet Product 134, Pet ,19.08,26.36,7,N,0.9546485260770976
5012,2,37,Salt Lake City,2026-03-23,2026-05-04,2026-05-21,827,792,139.11,Closed,59.0,Global Goods,United States,Net 60,SKU 0037,Home Product 37, Home ,146.4,258.95,2,Y,0.9576783555018138
5013,7,90,South Jordan,2026-01-16,2026-01-24,2026-02-02,809,796,6.74,Open,17.0,Summit Trading,China,Net 30,SKU-0090,Office Product 90, Office ,6.03,115.25,7,Unknown,0.9839307787391842
5015,1,2,Salt Lake City,2026-05-01,2026-05-27,2026-06-02,957,919,19.23,Partial,32.0,Acme Supply,China,Net 60,SKU-0002,Home Product 2,HOM,20.21,135.25,1,Y,0.960292580982236
5016,2,9,Salt Lake City,2026-02-10,2026-03-19,2026-04-05,741,705,114.83,Open,54.0,Global Goods,United States,Net 60,SKU-0009,Home Product 9,Home,120.72,235.32,2,Unknown,0.951417004048583
5017,6,121,Unknown,2026-03-28,2026-05-05,2026-05-23,915,909,60.73,Open,56.0,Evergreen Imports,Vietnam,Net 30,SKU-0121,Electronics Product 121,ELECT,54.76,151.43,6,N,0.9934426229508196
5018,6,95,Salt Lake City,2025-12-09,2025-12-25,2025-12-25,911,885,84.92,Open,16.0,Evergreen Imports,Vietnam,Net 30,SKU-0095,Electronics Product 95,ELECTRONICS,71.34,75.32,6,Y,0.9714599341383096
5019,3,15,Draper,2026-03-25,2026-04-04,2026-04-16,304,263,198.71,Open,22.0,Primesource,Vietnam,Net 45,SKU-0015,Pet Product 15, Pet ,159.82,198.21,3,Y,0.8651315789473685
5020,6,5,West Valley,2026-02-25,2026-03-24,2026-03-24,947,914,80.32,Open,27.0,Evergreen Imports,Vietnam,Net 30,SKU-0005,Toys Product 5, Toys ,64.54,59.31,6,Y,0.9651531151003168
5021,1,104,Lehi,2026-03-18,2026-03-28,2026-04-16,533,528,15.52,Closed,29.0,Acme Supply,China,Net 60,SKU-0104,Office Product 104,OFFICE,17.07,199.55,1,Unknown,0.9906191369606004
5022,6,114,Salt Lake City,2025-12-13,2026-01-06,2026-01-23,537,518,181.87,Partial,41.0,Evergreen Imports,Vietnam,Net 30,SKU-0114,Kitchen Product 114, Kitchen ,179.41,171.86,6,N,0.9646182495344506
5023,4,144,South Jordan,2026-03-01,2026-03-15,2026-03-28,876,871,11.34,Open,27.0,Blue Ridge,United States,Unknown,SKU-0144,Pet Product 144,Pet,10.05,194.56,4,N,0.9942922374429224
5024,6,24,Draper,2026-01-17,2026-01-29,2026-02-11,661,611,76.32,Open,25.0,Evergreen Imports,Vietnam,Net 30,SKU-0024,Electronics Product 24,ELECT,61.73,20.55,6,Unknown,0.924357034795764
5025,7,56,Draper,2026-03-07,2026-04-12,2026-04-30,985,938,127.81,Closed,54.0,Summit Trading,China,Net 30,SKU-0056,Sports Product 56,sports,134.72,172.23,7,Y,0.9522842639593908
5026,1,80,West Valley,2025-12-15,2026-01-15,2026-01-15,305,279,82.93,Closed,31.0,Acme Supply,China,Net 60,SKU-0080,Beauty Product 80, Beauty ,91.52,84.54,1,Unknown,0.9147540983606556
