order_id,sales_revenue,total_units,shipment_id,freight_cost,missing_shipment
1005,2155.84,16,,,True
1013,1409.94,6,,,True
1025,4096.889999999999,21,,,True
1037,867.24,11,,,True
1064,1285.44,8,,,True
1068,1929.58,12,,,True
1082,184.44,1,,,True
1091,964.28,13,,,True
1111,3552.63,20,,,True
1122,143.04,2,,,True
1127,1337.8500000000001,11,,,True
1128,252.17,8,,,True
1141,1648.47,10,,,True
1148,921.97,13,,,True
1164,1193.34,21,,,True
1178,356.89,5,,,True
1182,1174.17,18,,,True
1191,2470.21,12,,,True
1201,322.02,6,,,True
1204,1061.2800000000002,6,,,True
1208,1589.7599999999998,9,,,True
1212,350.83,5,,,True
1218,284.66999999999996,8,,,True
1225,4390.18,28,,,True
1229,2830.1,21,,,True
1230,1935.6100000000001,17,,,True
1232,1110.61,7,,,True
1239,1499.3600000000001,12,,,True
1252,1015.7,10,,,True
1266,2772.42,22,,,True
1272,4487.75,17,,,True
1293,2352.59,15,,,True
1299,393.84000000000003,8,,,True
1305,1160.67,9,,,True
1308,1913.29,15,,,True
1323,1805.51,11,,,True
1324,1404.0,9,,,True
1325,4359.07,22,,,True
1326,2704.94,22,,,True
1327,1987.9199999999998,8,,,True
1329,4592.64,24,,,True
1339,901.5,5,,,True
1346,1224.7199999999998,10,,,True
1361,2817.36,12,,,True
1409,218.49,6,,,True
1441,918.92,4,,,True
1444,3156.26,13,,,True
