order_id,order_date,customer_region,sales_channel,order_status,order_item_id,product_id,quantity,unit_price,discount_amount,sku,product_name,category,standard_cost,selling_price,supplier_id,active_flag,revenue,total_cost,gross_profit
1001,2026-01-23,East,Amazon,Shipped,1,45,7,184.44,0.0,SKU-0045,Home Product 45,HOM,48.09,184.44,2,N,1291.08,336.63,954.45
1002,2026-03-18,West,Amazon,Delivered,2,73,8,134.83,14.85,SKU-0073,Sports Product 73,SPO,27.28,134.83,7,N,1063.7900000000002,218.24,845.5500000000002
1002,2026-03-18,West,Amazon,Delivered,3,35,8,46.14,0.0,SKU-0035,Office Product 35,OFFICE,145.1,46.14,4,N,369.12,1160.8,-791.68
1002,2026-03-18,West,Amazon,Delivered,4,85,3,163.57,0.0,SKU-0085,Beauty Product 85,BEAUTY,139.02,163.57,4,Y,490.71,417.06000000000006,73.64999999999992
1003,2026-04-14,South,Amazon,Backordered,5,103,2,241.92,0.0,SKU-0103,Sports Product 103,SPO,145.97,241.92,1,Y,483.84,291.94,191.9
1004,2026-03-19,West,Shopify,Delivered,6,67,6,291.56,0.0,SKU-0067,Kitchen Product 67,Kitchen,25.18,291.56,3,Y,1749.36,151.07999999999998,1598.2800000000002
1005,2026-03-17,East,Amazon,Cancelled,7,35,8,46.14,0.0,SKU-0035,Office Product 35,OFFICE,145.1,46.14,4,N,369.12,1160.8,-791.68
1005,2026-03-17,East,Amazon,Cancelled,8,107,8,223.34,0.0,SKU-0107,Pet Product 107, Pet ,81.23,223.34,5,Y,1786.72,649.84,1136.88
1006,2026-01-21,West,Walmart,Delivered,9,20,2,168.04,0.0,SKU-0020,Electronics Product 20,Electronics,124.3,168.04,5,Unknown,336.08,248.6,87.47999999999999
1006,2026-01-21,West,Walmart,Delivered,10,147,3,133.41,3.3,SKU-0147,Sports Product 147,SPO,128.45,133.41,8,N,396.93,385.35,11.58000000000004
1006,2026-01-21,West,Walmart,Delivered,11,30,4,35.23,11.04,SKU-0030,Beauty Product 30,BEA,43.54,35.23,1,N,129.88,174.16,-44.28
1007,2026-01-15,Unknown,Walmart,Delivered,12,6,7,256.54,0.0,SKU-0006,Home Product 6, Home ,21.93,256.54,5,Unknown,1795.7800000000002,153.51,1642.2700000000002
1007,2026-01-15,Unknown,Walmart,Delivered,13,56,2,172.23,0.0,SKU-0056,Sports Product 56,sports,134.72,172.23,7,Y,344.46,269.44,75.01999999999998
1007,2026-01-15,Unknown,Walmart,Delivered,14,17,1,299.3,0.0,SKU-0017,Office Product 17,OFFICE,43.38,299.3,8,Y,299.3,43.38,255.92
1008,2026-04-08,Midwest,Walmart,Backordered,15,139,3,156.21,0.0,SKU-0139,Toys Product 139,TOYS,77.04,156.21,7,Unknown,468.63,231.12,237.51
1009,2026-03-18,Unknown,Shopify,Backordered,16,137,7,181.82,0.0,SKU-0137,Pet Product 137,PET,36.76,181.82,8,Y,1272.74,257.32,1015.42
1009,2026-03-18,Unknown,Shopify,Backordered,17,118,6,55.68,0.0,SKU-0118,Beauty Product 118,BEAUTY,44.81,0.0,3,Y,334.08,268.86,65.21999999999997
1009,2026-03-18,Unknown,Shopify,Backordered,18,9,7,235.32,0.0,SKU-0009,Home Product 9,Home,120.72,235.32,2,Unknown,1647.24,845.04,802.2
1009,2026-03-18,Unknown,Shopify,Backordered,19,62,4,109.67,0.0,SKU-0062,Electronics Product 62,electronics,133.9,109.67,7,Unknown,438.68,535.6,-96.92000000000002
1010,2026-02-25,West,Shopify,Delivered,20,60,6,115.8,0.0,SKU-0060,Beauty Product 60,beauty,121.71,115.8,7,Y,694.8,730.26,-35.46000000000004
1010,2026-02-25,West,Shopify,Delivered,21,61,5,293.22,0.0,SKU-0061,Toys Product 61,toys,156.31,293.22,3,N,1466.1,781.55,684.5500000000002
1010,2026-02-25,West,Shopify,Delivered,22,106,5,65.2,0.0,SKU-0106,Toys Product 106, Toys ,64.54,65.2,5,Y,326.0,322.70000000000005,3.2999999999999545
1011,2026-03-23,Midwest,Walmart,Shipped,23,77,7,195.39,3.57,SKU-0077,Home Product 77,HOME,95.2,195.39,6,Y,1364.16,666.4,697.7600000000001
1011,2026-03-23,Midwest,Walmart,Shipped,24,62,4,109.67,0.0,SKU-0062,Electronics Product 62,electronics,133.9,109.67,7,Unknown,438.68,535.6,-96.92000000000002
1012,2026-03-04,South,Shopify,Cancelled,25,116,6,211.7,0.0,SKU-0116,Home Product 116,HOM,171.4,211.7,4,N,1270.1999999999998,1028.4,241.79999999999973
1013,2026-02-23,West,Ebay,Cancelled,26,49,2,280.98,11.46,SKU-0049,Beauty Product 49,BEA,51.41,280.98,2,N,550.5,102.82,447.68
1013,2026-02-23,West,Ebay,Cancelled,27,63,4,214.86,0.0,SKU-0063,Beauty Product 63,BEAUTY,32.86,214.86,7,Unknown,859.44,131.44,728.0
1014,2026-03-14,West,Walmart,Backordered,28,79,5,234.02,6.04,SKU-0079,Beauty Product 79, Beauty ,111.97,234.02,8,N,1164.0600000000002,559.85,604.2100000000002
1014,2026-03-14,West,Walmart,Backordered,29,120,2,229.55,12.24,SKU-0120,Sports Product 120,sports,116.63,229.55,2,Unknown,446.86,233.26,213.6
1014,2026-03-14,West,Walmart,Backordered,30,82,4,243.4,6.19,SKU-0082,Beauty Product 82,Beauty,84.88,243.4,6,Unknown,967.41,339.52,627.89
1015,2026-02-09,East,Ebay,Shipped,31,146,4,199.6,0.0,SKU-0146,Home Product 146, Home ,170.74,199.6,3,N,798.4,682.96,115.43999999999994
1015,2026-02-09,East,Ebay,Shipped,32,66,8,94.55,14.53,SKU-0066,Sports Product 66,Sports,174.21,94.55,7,N,741.87,1393.68,-651.8100000000001
1015,2026-02-09,East,Ebay,Shipped,33,118,3,188.54,0.0,SKU-0118,Beauty Product 118,BEAUTY,44.81,0.0,3,Y,565.62,134.43,431.19
