order_id,order_date,customer_region,sales_channel,order_status
1001,2026-01-23,East,amazon, SHIPPED 
1002,2026-03-18,West,amazon,delivered
1003,2026-04-14,South,amazon,Backordered
1004,2026-03-19,west , SHOPIFY ,delivered
1005,2026-03-17,East,amazon,Cancelled
1006,2026-01-21,west ,Walmart,delivered
1007,2026-01-15,,Walmart,delivered
1008,2026-04-08,Midwest,Walmart,Backordered
1009,2026-03-18,, SHOPIFY ,Backordered
1010,2026-02-25,west ,Shopify,Delivered
1011,2026-03-23,Midwest,Walmart, SHIPPED 
1012,2026-03-04,South,Shopify,Cancelled
1013,2026-02-23,West,eBay,Cancelled
1014,2026-03-14,west ,Walmart,Backordered
1015,2026-02-09,East,eBay,Shipped
1016,2026-03-01,East, SHOPIFY ,Delivered
1017,2026-03-12,West,eBay,delivered
1018,2026-04-08,Midwest,amazon,Backordered
1019,2026-02-24,Midwest,amazon, SHIPPED 
1020,2026-02-05,West, SHOPIFY , SHIPPED 
1021,2026-03-17,West, SHOPIFY ,Shipped
1022,2026-02-03,Midwest,Shopify,Delivered
1023,2026-02-12,Midwest,eBay,Backordered
1024,2026-03-24,East, SHOPIFY ,delivered
1025,2026-04-23,West, SHOPIFY ,Cancelled
1026,2026-04-03,west ,amazon, SHIPPED 
1027,2026-04-21,West,Amazon,Delivered
1028,2026-05-02,,Walmart,Delivered
1029,2026-02-20,Midwest,amazon,Backordered
1030,2026-02-14,South, SHOPIFY , SHIPPED 
1031,2026-04-09,Midwest,Shopify,Backordered
1032,2026-05-06,Midwest, SHOPIFY ,Backordered
1033,2026-02-25,,Amazon,Backordered
1034,2026-02-05,West,Shopify,Shipped
1035,2026-04-11,west ,Shopify,Backordered
1036,2026-04-20,South,Walmart,Shipped
1037,2026-02-10,,Amazon,Cancelled
1038,2026-01-20,East,amazon,Shipped
1039,2026-02-12,,eBay,Backordered
1040,2026-01-22,west ,amazon,Shipped
1041,2026-04-10,South,Walmart,delivered
1042,2026-01-22,west ,amazon, SHIPPED 
1043,2026-04-22,west ,Walmart,Delivered
1044,2026-04-06,South, SHOPIFY ,Shipped
1045,2026-05-11,Midwest,Amazon,Cancelled
1046,2026-04-18,East,eBay,Shipped
1047,2026-04-05,East,Walmart,delivered
1048,2026-03-02,West,Walmart,Backordered
1049,2026-01-16,East, SHOPIFY ,Backordered
1050,2026-04-26,Midwest,eBay,Backordered
1051,2026-01-11,East,eBay,Shipped
1052,2026-03-05,West,Walmart,Delivered
1053,2026-02-20,East,Walmart, SHIPPED 
1054,2026-04-20,East,eBay,Shipped
1055,2026-03-05,West,amazon, SHIPPED 
1056,2026-03-10,West, SHOPIFY ,delivered
1057,2026-03-21,West,Walmart,Shipped
1058,2026-03-24,East,Amazon,Delivered
1059,2026-04-02,west , SHOPIFY ,Shipped
1060,2026-01-27,South,Shopify,Backordered
1061,2026-03-07,West, SHOPIFY ,Delivered
1062,2026-04-26,South,Amazon,Delivered
1063,2026-05-04,Midwest,Amazon, SHIPPED 
1064,2026-01-14,Midwest,Amazon,Cancelled
1065,2026-03-16,West,Walmart,Delivered
1066,2026-01-22,west ,eBay, SHIPPED 
1067,2026-02-21,west ,Shopify, SHIPPED 
1068,2026-01-26,South,amazon,Cancelled
1069,2026-01-06,South,eBay,Cancelled
1070,2026-03-21,Midwest,amazon, SHIPPED 
1071,2026-01-08,Midwest,eBay,Shipped
1072,2026-02-03,west ,Shopify, SHIPPED 
1073,2026-04-30,west , SHOPIFY ,Cancelled
1074,2026-02-05,,Amazon, SHIPPED 
1075,2026-01-23,East,eBay,Shipped
1076,2026-04-15,East,Walmart,delivered
1077,2026-04-09,west ,Amazon,Delivered
1078,2026-01-17,South,eBay,Delivered
1079,2026-01-13,,Amazon, SHIPPED 
1080,2026-04-18,,Amazon, SHIPPED 
1081,2026-05-04,West,Shopify,Cancelled
1082,2026-03-17,West,Walmart,Cancelled
1083,2026-03-22,West, SHOPIFY ,Backordered
1084,2026-03-29,Midwest,Amazon,Shipped
1085,2026-05-05,Midwest,Walmart,Delivered
1086,2026-01-25,, SHOPIFY ,Backordered
1087,2026-03-26,west ,Amazon,Cancelled
1088,2026-04-14,west ,Amazon,Backordered
1089,2026-03-26,west ,amazon,delivered
1090,2026-02-18,West,eBay, SHIPPED 
1091,2026-03-05,South,Walmart,Cancelled
1092,2026-02-03,East, SHOPIFY , SHIPPED 
1093,2026-02-07,South, SHOPIFY ,Delivered
1094,2026-03-22,West,Amazon,delivered
1095,2026-02-11,West,eBay,delivered
1096,2026-02-26,South, SHOPIFY ,Shipped
1097,2026-03-14,South,amazon,Delivered
1098,2026-04-28,West,eBay, SHIPPED 
1099,2026-04-14,West,eBay,Backordered
1100,2026-03-17,South,Shopify, SHIPPED 
1101,2026-01-30,west , SHOPIFY ,Shipped
1102,2026-04-02,, SHOPIFY ,Shipped
1103,2026-03-22,,Shopify,Shipped
1104,2026-04-14,West,Shopify,delivered
1105,2026-02-05,East,Shopify,Backordered
1106,2026-01-12,South, SHOPIFY ,Delivered
1107,2026-03-06,west ,Shopify,Backordered
1108,2026-02-23,,Shopify,delivered
1109,2026-02-26,East,amazon,Backordered
1110,2026-01-25,west ,Walmart,Shipped
1111,2026-04-18,,Amazon,Cancelled
1112,2026-01-31,Midwest,Amazon,delivered
1113,2026-05-04,west ,eBay,Shipped
1114,2026-04-05,West,amazon,Delivered
1115,2026-02-21,,Amazon,delivered
1116,2026-02-14,West,amazon,Backordered
1117,2026-05-04,Midwest,eBay,Shipped
1118,2026-02-25,East,eBay,delivered
1119,2026-01-02,Midwest,Amazon,delivered
1120,2026-02-14,,Amazon,Backordered
1121,2026-02-03,East, SHOPIFY ,delivered
1122,2026-03-18,west ,amazon,Cancelled
1123,2026-03-07,West, SHOPIFY ,Backordered
1124,2026-04-18,west ,amazon, SHIPPED 
1125,2026-02-12,West,Amazon,Backordered
1126,2026-02-28,South, SHOPIFY ,Shipped
1127,2026-03-21,west ,Walmart,Cancelled
1128,2026-02-04,Midwest,eBay,Cancelled
1129,2026-03-01,South,amazon,Delivered
1130,2026-03-10,West,Shopify,Backordered
1131,2026-03-14,,Shopify,Cancelled
1132,2026-02-01,Midwest,Shopify, SHIPPED 
1133,2026-03-25,South,Shopify,Delivered
1134,2026-05-08,west , SHOPIFY ,Delivered
1135,2026-03-17,Midwest, SHOPIFY ,delivered
