inventory_id,product_id,warehouse,quantity_on_hand,last_updated
1,1,SOUTH JORDAN,22,2026-04-01
2,2,SOUTH JORDAN,405,2026-04-22
3,2,Unknown,253,2026-04-23
4,2,West Valley,257,2026-04-10
5,3,south jordan ,51,2026-04-02
6,4,Draper,209,2026-04-22
7,5,south jordan ,400,2026-04-10
8,6,SOUTH JORDAN,168,2026-03-08
9,6,Salt Lake City,273,2026-04-11
10,6,Unknown,320,2026-03-14
11,7,Unknown,316,2026-03-22
12,7,SLC,350,2026-04-17
13,8,Salt Lake City,389,2026-03-07
14,8,SOUTH JORDAN,51,2026-03-18
15,8,SLC,153,2026-04-29
16,9,SLC,183,2026-04-22
17,9,Lehi,125,2026-03-26
18,10,Draper,40,2026-04-07
19,10,Unknown,317,2026-03-31
20,10,Salt Lake City,467,2026-04-17
21,11,Lehi,130,2026-03-05
22,11,south jordan ,411,2026-04-13
23,12,Unknown,226,2026-03-25
24,12,Draper,153,2026-04-04
25,12,SLC,353,2026-03-08
26,13,DRPR,436,2026-04-16
27,13,SOUTH JORDAN,195,2026-03-26
28,14,Lehi,500,2026-04-06
29,14,SLC,-2,2026-03-04
30,15,south jordan ,409,2026-03-11
31,15,Lehi,180,2026-04-19
32,15,SOUTH JORDAN,317,2026-03-14
33,16,Draper,330,2026-03-12
34,16,Salt Lake City,225,2026-04-08
35,16,West Valley,374,2026-03-04
36,17,West Valley,89,2026-03-12
37,17,SOUTH JORDAN,276,2026-04-08
38,18,Unknown,84,2026-03-10
39,18,Lehi,483,2026-03-11
40,18,SOUTH JORDAN,151,2026-04-10
41,19,south jordan ,493,2026-03-14
42,20,SOUTH JORDAN,495,2026-03-27
43,21,Salt Lake City,7,2026-04-24
44,21,SOUTH JORDAN,232,2026-03-15
45,22,Lehi,326,2026-04-25
46,22,SOUTH JORDAN,345,2026-04-30
47,22,south jordan ,317,2026-03-27
48,23,DRPR,325,2026-03-04
49,23,Salt Lake City,358,2026-04-05
50,24,Draper,23,2026-04-12
51,25,Salt Lake City,120,2026-04-23
52,25,Unknown,198,2026-03-20
53,26,Unknown,380,2026-03-06
54,26,SOUTH JORDAN,212,2026-03-09
55,26,Lehi,250,2026-03-02
56,27,SLC,111,2026-03-02
57,27,West Valley,120,2026-04-25
58,28,West Valley,203,2026-04-24
59,28,Unknown,485,2026-04-02
60,28,SLC,46,2026-03-21
61,29,SLC,170,2026-04-23
62,29,Unknown,402,2026-04-27
63,29,SOUTH JORDAN,424,2026-04-18
64,30,DRPR,396,2026-03-05
65,30,Unknown,-5,2026-04-23
66,30,Draper,276,2026-04-20
67,31,SLC,-8,2026-03-25
68,32,SLC,135,2026-03-15
69,32,Draper,215,2026-03-15
70,33,south jordan ,229,2026-03-30
71,34,Salt Lake City,113,2026-04-29
72,34,south jordan ,372,2026-03-07
73,34,Lehi,337,2026-04-02
74,35,SLC,433,2026-03-19
75,35,Unknown,55,2026-03-04
76,35,DRPR,227,2026-04-26
77,36,Draper,64,2026-03-22
78,36,Salt Lake City,299,2026-04-11
79,37,Unknown,232,2026-04-04
80,37,Lehi,50,2026-04-24
81,38,Unknown,231,2026-04-05
82,38,DRPR,173,2026-04-06
83,38,south jordan ,212,2026-04-11
84,39,West Valley,191,2026-03-19
85,39,Lehi,472,2026-04-26
86,40,Salt Lake City,221,2026-03-15
87,41,Draper,300,2026-03-27
88,41,SLC,168,2026-04-05
89,42,SOUTH JORDAN,495,2026-04-12
90,42,SLC,180,2026-03-30
91,43,Draper,336,2026-03-08
92,44,West Valley,432,2026-04-24
93,45,DRPR,432,2026-03-13
94,45,SOUTH JORDAN,419,2026-03-19
95,46,Unknown,475,2026-03-18
96,46,SLC,-9,2026-03-18
97,46,Lehi,390,2026-04-10
98,47,SLC,445,2026-03-20
99,47,Draper,205,2026-03-15
100,48,SLC,271,2026-04-05
101,48,Salt Lake City,232,2026-04-08
102,48,West Valley,159,2026-03-13
103,49,Salt Lake City,80,2026-04-28
104,49,SLC,345,2026-04-03
105,49,Unknown,338,2026-03-24
106,50,SOUTH JORDAN,110,2026-04-24
107,50,Lehi,176,2026-04-13
108,51,south jordan ,112,2026-03-24
109,51,Lehi,-10,2026-03-02
110,51,SLC,108,2026-03-14
111,52,Lehi,-14,2026-04-20
112,52,West Valley,66,2026-03-17
113,53,Unknown,286,2026-03-11
114,54,Salt Lake City,441,2026-04-04
115,54,SOUTH JORDAN,9,2026-04-27
116,55,SOUTH JORDAN,363,2026-04-13
117,55,Unknown,58,2026-04-11
118,56,south jordan ,425,2026-04-08
119,57,SOUTH JORDAN,432,2026-04-04
120,58,SOUTH JORDAN,445,2026-04-10
121,58,Salt Lake City,113,2026-04-21
122,58,DRPR,39,2026-04-24
123,59,Unknown,178,2026-03-10
124,59,DRPR,330,2026-04-16
125,59,SOUTH JORDAN,52,2026-04-19
126,60,Draper,389,2026-04-27
127,61,south jordan ,237,2026-03-14
128,62,south jordan ,497,2026-04-22
129,62,West Valley,225,2026-04-03
130,62,SOUTH JORDAN,323,2026-04-14
131,63,SLC,37,2026-04-03
132,63,West Valley,19,2026-03-09
133,63,Lehi,146,2026-03-07
134,64,Unknown,196,2026-03-27
135,65,SLC,292,2026-04-11
136,65,south jordan ,309,2026-04-22
137,65,SOUTH JORDAN,490,2026-04-25
138,66,Salt Lake City,20,2026-04-03
139,66,Draper,224,2026-03-23
140,67,West Valley,190,2026-04-07
141,68,West Valley,404,2026-04-10
142,68,SLC,33,2026-03-27
143,69,SOUTH JORDAN,370,2026-03-04
144,69,Lehi,308,2026-04-10
145,69,Draper,41,2026-04-22
146,70,Lehi,66,2026-03-02
147,70,SOUTH JORDAN,43,2026-04-07
148,71,West Valley,359,2026-03-15
149,71,Draper,350,2026-04-26
150,71,Unknown,330,2026-03-30
151,72,SLC,158,2026-04-18
152,72,West Valley,174,2026-03-31
153,73,DRPR,70,2026-04-13
154,74,Unknown,394,2026-03-15
155,75,SLC,316,2026-04-07
156,75,West Valley,78,2026-03-09
157,75,SOUTH JORDAN,354,2026-03-11
158,76,south jordan ,22,2026-03-19
159,77,DRPR,145,2026-03-12
160,77,south jordan ,229,2026-04-16
161,77,Lehi,158,2026-03-12
162,78,DRPR,347,2026-04-03
163,78,West Valley,236,2026-03-13
164,79,Unknown,494,2026-04-19
165,79,SOUTH JORDAN,410,2026-03-07
