order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1001,45,7,184.44,0
2,1002,73,8,134.83,14.85
3,1002,35,8,46.14,0
4,1002,85,3,163.57,0
5,1003,103,2,241.92,0
6,1004,67,6,291.56,0
7,1005,35,8,46.14,0
8,1005,107,8,223.34,0
9,1006,20,2,168.04,0
10,1006,147,3,133.41,3.3
11,1006,30,4,35.23,11.04
12,1007,6,7,256.54,0
13,1007,56,2,172.23,0
14,1007,17,1,299.3,0
15,1008,139,3,156.21,0
16,1009,137,7,181.82,0
17,1009,118,6,55.68,0
18,1009,9,7,235.32,0
19,1009,62,4,109.67,0
20,1010,60,6,115.8,0
21,1010,61,5,293.22,0
22,1010,106,5,65.2,0
23,1011,77,7,195.39,3.57
24,1011,62,4,109.67,0
25,1012,116,6,211.7,0
26,1013,49,2,280.98,11.46
27,1013,63,4,214.86,0
28,1014,79,5,234.02,6.04
29,1014,120,2,229.55,12.24
30,1014,82,4,243.4,6.19
31,1015,146,4,199.6,0
32,1015,66,8,94.55,14.53
33,1015,118,3,188.54,0
34,1015,140,8,86.93,0
35,1016,56,8,172.23,6.22
36,1017,46,2,219.11,0
37,1017,62,4,109.67,0
38,1017,91,5,170.65,0
39,1017,96,7,252.1,0
40,1018,3,3,22.56,2.16
41,1019,12,2,61.57,0
42,1019,140,1,86.93,0
43,1019,5,4,59.31,9.22
44,1020,14,2,33.86,0
45,1020,88,7,109.3,0
46,1020,8,5,118.07,11.97
47,1021,69,3,69.17,0
48,1022,143,7,171.53,0
49,1022,91,2,170.65,0
50,1022,99,1,50.97,5.09
51,1022,22,4,159.69,0
52,1023,124,2,48.76,0
53,1023,127,4,38.14,0
54,1023,78,1,71.75,0
55,1024,81,3,244.17,0
56,1024,75,8,180.3,0
57,1024,84,7,150.28,4.92
58,1024,94,2,53.67,0
59,1025,128,3,143.39,0
60,1025,65,3,203.11,11.01
61,1025,19,8,298.89,14.87
62,1025,150,7,100.09,8.48
63,1026,28,4,206.43,0
64,1027,57,4,266.69,7.24
65,1027,119,3,27.97,0
66,1027,124,2,48.76,0
67,1028,82,2,243.4,0
68,1028,6,6,256.54,0
69,1028,63,3,214.86,0
70,1028,144,7,194.56,0
71,1029,2,4,135.25,0
72,1029,148,2,124.32,0
73,1029,94,6,53.67,0
74,1029,68,8,138.85,0
75,1030,35,6,46.14,0
76,1031,143,3,171.53,0
77,1031,48,6,299.56,0
78,1032,43,2,277.03,0
79,1032,75,1,180.3,0
80,1032,44,8,34.37,8.92
81,1032,141,2,15.33,0
82,1033,77,1,195.39,0
83,1033,23,8,58.56,0
84,1034,137,5,181.82,0
85,1034,83,5,269.23,0
86,1034,132,2,240.9,2.9
87,1035,107,7,223.34,0
88,1035,104,5,199.55,0
89,1035,117,8,293.33,0
90,1036,73,6,134.83,0
91,1036,145,8,172.39,0
92,1036,12,2,61.57,9.77
93,1037,65,2,203.11,0
94,1037,14,7,33.86,0
95,1037,110,2,112.0,0
96,1038,3,1,22.56,0
97,1038,109,3,257.52,0
98,1038,99,2,50.97,0
99,1038,27,6,165.39,0
100,1039,39,7,129.3,9.63
101,1039,56,2,172.23,0
102,1040,7,5,292.34,0
103,1040,101,5,45.81,0
104,1040,127,7,38.14,2.58
105,1041,121,2,151.43,0
106,1041,4,5,94.28,0
107,1042,72,2,205.06,0
108,1042,40,6,90.58,0
109,1043,80,3,84.54,0
110,1044,8,6,118.07,0
111,1045,95,3,75.32,0
112,1045,147,2,133.41,0
113,1046,82,5,243.4,0
