"order_id","order_date","customer_region","sales_channel","order_status"
1001,"2026-01-23","East","Amazon","Shipped"
1002,"2026-03-18","West","Amazon","Delivered"
1003,"2026-04-14","South","Amazon","Backordered"
1004,"2026-03-19","West","Shopify","Delivered"
1005,"2026-03-17","East","Amazon","Cancelled"
1006,"2026-01-21","West","Walmart","Delivered"
1007,"2026-01-15",NULL,"Walmart","Delivered"
1008,"2026-04-08","Midwest","Walmart","Backordered"
1009,"2026-03-18",NULL,"Shopify","Backordered"
1010,"2026-02-25","West","Shopify","Delivered"
1011,"2026-03-23","Midwest","Walmart","Shipped"
1012,"2026-03-04","South","Shopify","Cancelled"
1013,"2026-02-23","West","Ebay","Cancelled"
1014,"2026-03-14","West","Walmart","Backordered"
1015,"2026-02-09","East","Ebay","Shipped"
1016,"2026-03-01","East","Shopify","Delivered"
1017,"2026-03-12","West","Ebay","Delivered"
1018,"2026-04-08","Midwest","Amazon","Backordered"
1019,"2026-02-24","Midwest","Amazon","Shipped"
1020,"2026-02-05","West","Shopify","Shipped"
1021,"2026-03-17","West","Shopify","Shipped"
1022,"2026-02-03","Midwest","Shopify","Delivered"
1023,"2026-02-12","Midwest","Ebay","Backordered"
1024,"2026-03-24","East","Shopify","Delivered"
1025,"2026-04-23","West","Shopify","Cancelled"
1026,"2026-04-03","West","Amazon","Shipped"
1027,"2026-04-21","West","Amazon","Delivered"
1028,"2026-05-02",NULL,"Walmart","Delivered"
1029,"2026-02-20","Midwest","Amazon","Backordered"
1030,"2026-02-14","South","Shopify","Shipped"
1031,"2026-04-09","Midwest","Shopify","Backordered"
1032,"2026-05-06","Midwest","Shopify","Backordered"
1033,"2026-02-25",NULL,"Amazon","Backordered"
1034,"2026-02-05","West","Shopify","Shipped"
1035,"2026-04-11","West","Shopify","Backordered"
1036,"2026-04-20","South","Walmart","Shipped"
1037,"2026-02-10",NULL,"Amazon","Cancelled"
1038,"2026-01-20","East","Amazon","Shipped"
1039,"2026-02-12",NULL,"Ebay","Backordered"
1040,"2026-01-22","West","Amazon","Shipped"
1041,"2026-04-10","South","Walmart","Delivered"
1042,"2026-01-22","West","Amazon","Shipped"
1043,"2026-04-22","West","Walmart","Delivered"
1044,"2026-04-06","South","Shopify","Shipped"
1045,"2026-05-11","Midwest","Amazon","Cancelled"
1046,"2026-04-18","East","Ebay","Shipped"
1047,"2026-04-05","East","Walmart","Delivered"
1048,"2026-03-02","West","Walmart","Backordered"
1049,"2026-01-16","East","Shopify","Backordered"
1050,"2026-04-26","Midwest","Ebay","Backordered"
1051,"2026-01-11","East","Ebay","Shipped"
1052,"2026-03-05","West","Walmart","Delivered"
1053,"2026-02-20","East","Walmart","Shipped"
1054,"2026-04-20","East","Ebay","Shipped"
1055,"2026-03-05","West","Amazon","Shipped"
1056,"2026-03-10","West","Shopify","Delivered"
1057,"2026-03-21","West","Walmart","Shipped"
1058,"2026-03-24","East","Amazon","Delivered"
1059,"2026-04-02","West","Shopify","Shipped"
1060,"2026-01-27","South","Shopify","Backordered"
1061,"2026-03-07","West","Shopify","Delivered"
1062,"2026-04-26","South","Amazon","Delivered"
1063,"2026-05-04","Midwest","Amazon","Shipped"
1064,"2026-01-14","Midwest","Amazon","Cancelled"
1065,"2026-03-16","West","Walmart","Delivered"
1066,"2026-01-22","West","Ebay","Shipped"
1067,"2026-02-21","West","Shopify","Shipped"
1068,"2026-01-26","South","Amazon","Cancelled"
1069,"2026-01-06","South","Ebay","Cancelled"
1070,"2026-03-21","Midwest","Amazon","Shipped"
1071,"2026-01-08","Midwest","Ebay","Shipped"
1072,"2026-02-03","West","Shopify","Shipped"
1073,"2026-04-30","West","Shopify","Cancelled"
1074,"2026-02-05",NULL,"Amazon","Shipped"
1075,"2026-01-23","East","Ebay","Shipped"
1076,"2026-04-15","East","Walmart","Delivered"
1077,"2026-04-09","West","Amazon","Delivered"
1078,"2026-01-17","South","Ebay","Delivered"
1079,"2026-01-13",NULL,"Amazon","Shipped"
1080,"2026-04-18",NULL,"Amazon","Shipped"
1081,"2026-05-04","West","Shopify","Cancelled"
1082,"2026-03-17","West","Walmart","Cancelled"
1083,"2026-03-22","West","Shopify","Backordered"
1084,"2026-03-29","Midwest","Amazon","Shipped"
1085,"2026-05-05","Midwest","Walmart","Delivered"
1086,"2026-01-25",NULL,"Shopify","Backordered"
1087,"2026-03-26","West","Amazon","Cancelled"
1088,"2026-04-14","West","Amazon","Backordered"
1089,"2026-03-26","West","Amazon","Delivered"
1090,"2026-02-18","West","Ebay","Shipped"
1091,"2026-03-05","South","Walmart","Cancelled"
1092,"2026-02-03","East","Shopify","Shipped"
1093,"2026-02-07","South","Shopify","Delivered"
1094,"2026-03-22","West","Amazon","Delivered"
1095,"2026-02-11","West","Ebay","Delivered"
1096,"2026-02-26","South","Shopify","Shipped"
1097,"2026-03-14","South","Amazon","Delivered"
1098,"2026-04-28","West","Ebay","Shipped"
1099,"2026-04-14","West","Ebay","Backordered"
1100,"2026-03-17","South","Shopify","Shipped"
1101,"2026-01-30","West","Shopify","Shipped"
1102,"2026-04-02",NULL,"Shopify","Shipped"
1103,"2026-03-22",NULL,"Shopify","Shipped"
1104,"2026-04-14","West","Shopify","Delivered"
1105,"2026-02-05","East","Shopify","Backordered"
1106,"2026-01-12","South","Shopify","Delivered"
1107,"2026-03-06","West","Shopify","Backordered"
1108,"2026-02-23",NULL,"Shopify","Delivered"
1109,"2026-02-26","East","Amazon","Backordered"
1110,"2026-01-25","West","Walmart","Shipped"
1111,"2026-04-18",NULL,"Amazon","Cancelled"
1112,"2026-01-31","Midwest","Amazon","Delivered"
1113,"2026-05-04","West","Ebay","Shipped"
1114,"2026-04-05","West","Amazon","Delivered"
1115,"2026-02-21",NULL,"Amazon","Delivered"
1116,"2026-02-14","West","Amazon","Backordered"
1117,"2026-05-04","Midwest","Ebay","Shipped"
1118,"2026-02-25","East","Ebay","Delivered"
1119,"2026-01-02","Midwest","Amazon","Delivered"
1120,"2026-02-14",NULL,"Amazon","Backordered"
1121,"2026-02-03","East","Shopify","Delivered"
1122,"2026-03-18","West","Amazon","Cancelled"
1123,"2026-03-07","West","Shopify","Backordered"
1124,"2026-04-18","West","Amazon","Shipped"
1125,"2026-02-12","West","Amazon","Backordered"
1126,"2026-02-28","South","Shopify","Shipped"
1127,"2026-03-21","West","Walmart","Cancelled"
